팜맵고유번호, 영상촬영년도, PNU지번코드, 법정읍면동코드, 법정읍면동명, 변경구분코드, 변경구분명, 지번, 판독코드, 판독명, 판독영상구분코드, 판독영상구분명, 판독입력일자, 갱신이력코드, 갱신이력명, 도엽번호
05575092, 2017, 2911012500101000007, 29110125, 내남동, 01, 유지, 100-7 답, 01, 논, 01, 항공영상, 20181130, , , 35616068
05574140, 2017, 2911012500101700000, 29110125, 내남동, 01, 유지, 170답, 01, 논, 01, 항공영상, 20181130, , , 35616068
05575065, 2017, 2911012500101700002, 29110125, 내남동, 01, 유지, 170-2답, 01, 논, 01, 항공영상, 20181130, , , 35616068
05575066, 2017, 2911012500101700002, 29110125, 내남동, 01, 유지, 170-2답, 01, 논, 01, 항공영상, 20181130, , , 35616068
05575078, 2017, 2911012500101820000, 29110125, 내남동, 01, 유지, 182답, 01, 논, 01, 항공영상, 20181130, , , 35616068
05575077, 2017, 2911012500101830000, 29110125, 내남동, 01, 유지, 183 답, 01, 논, 01, 항공영상, 20181130, , , 35616068
05575086, 2017, 2911012500101860001, 29110125, 내남동, 01, 유지, 186-1 답, 01, 논, 01, 항공영상, 20181130, , , 35616068
05575085, 2017, 2911012500101870001, 29110125, 내남동, 01, 유지, 187-1 답, 01, 논, 01, 항공영상, 20181130, , , 35616068
05575009, 2017, 2911012500101880001, 29110125, 내남동, 01, 유지, 188-1 답, 01, 논, 01, 항공영상, 20181130, , , 35616068
05575005, 2017, 2911012500101900000, 29110125, 내남동, 01, 유지, 190 답, 01, 논, 01, 항공영상, 20181130, , , 35616068
05575006, 2017, 2911012500101900000, 29110125, 내남동, 01, 유지, 190 답, 01, 논, 01, 항공영상, 20181130, , , 35616068
05575003, 2017, 2911012500101910000, 29110125, 내남동, 01, 유지, 191 답, 01, 논, 01, 항공영상, 20181130, , , 35616068
05575004, 2017, 2911012500101910001, 29110125, 내남동, 01, 유지, 191-1 답, 01, 논, 01, 항공영상, 20181130, , , 35616068
