팜맵고유번호, 영상촬영년도, PNU지번코드, 법정읍면동코드, 법정읍면동명, 변경구분코드, 변경구분명, 지번, 판독코드, 판독명, 판독영상구분코드, 판독영상구분명, 판독입력일자, 갱신이력코드, 갱신이력명, 도엽번호
05589420, 2017, 2914011600105930013, 29140116, 유촌동, 01, 유지, 593-13답, 01, 논, 01, 항공영상, 20181130, , , 35616035
05589889, 2017, 2914011600105940002, 29140116, 유촌동, 01, 유지, 594-2답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589888, 2017, 2914011600105940004, 29140116, 유촌동, 01, 유지, 594-4답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589895, 2017, 2914011600105940005, 29140116, 유촌동, 01, 유지, 594-5답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589894, 2017, 2914011600105940006, 29140116, 유촌동, 01, 유지, 594-6답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589897, 2017, 2914011600105940007, 29140116, 유촌동, 01, 유지, 594-7답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589884, 2017, 2914011600105940010, 29140116, 유촌동, 01, 유지, 594-10답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589887, 2017, 2914011600105940011, 29140116, 유촌동, 01, 유지, 594-11답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589886, 2017, 2914011600105940012, 29140116, 유촌동, 01, 유지, 594-12답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589885, 2017, 2914011600105940013, 29140116, 유촌동, 01, 유지, 594-13답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05587586, 2017, 2914011600105940014, 29140116, 유촌동, 01, 유지, 594-14답, 01, 논, 01, 항공영상, 20181130, , , 35616035
05589400, 2017, 2914011600105940015, 29140116, 유촌동, 01, 유지, 594-15답, 01, 논, 01, 항공영상, 20181130, , , 35616035
05589896, 2017, 2914011600105940020, 29140116, 유촌동, 01, 유지, 594-20답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05573065, 2017, 2914011600105980002, 29140116, 유촌동, 01, 유지, 598-2답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05573064, 2017, 2914011600105980003, 29140116, 유촌동, 01, 유지, 598-3답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05573066, 2017, 2914011600105980004, 29140116, 유촌동, 01, 유지, 598-4답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589849, 2017, 2914011600105980005, 29140116, 유촌동, 01, 유지, 598-5답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589847, 2017, 2914011600105980006, 29140116, 유촌동, 01, 유지, 598-6답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589848, 2017, 2914011600105980007, 29140116, 유촌동, 01, 유지, 598-7답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589845, 2017, 2914011600105980009, 29140116, 유촌동, 01, 유지, 598-9답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589843, 2017, 2914011600105980010, 29140116, 유촌동, 01, 유지, 598-10답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589844, 2017, 2914011600105980011, 29140116, 유촌동, 01, 유지, 598-11답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589399, 2017, 2914011600105980013, 29140116, 유촌동, 01, 유지, 598-13답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589819, 2017, 2914011600105990002, 29140116, 유촌동, 01, 유지, 599-2답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589821, 2017, 2914011600105990003, 29140116, 유촌동, 01, 유지, 599-3답, 01, 논, 01, 항공영상, 20181130, , , 35616034
